case,leak_binary,leak_location,inlet_mean,outlet1_mean,outlet1_std,outlet1_min,outlet1_max,outlet1_cv,outlet2_mean,outlet2_std,outlet2_min,outlet2_max,outlet2_cv,outlet3_mean,outlet3_std,outlet3_min,outlet3_max,outlet3_cv,mass_residual,mass_residual_norm,outlet1_fraction,outlet2_fraction,outlet3_fraction,out12_diff,out13_diff,out23_diff
PipeNoLeak_0.6Inlet_1,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_2,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_3,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_4,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_5,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_6,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_7,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_8,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_9,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
PipeNoLeak_0.6Inlet_10,0,No Leak,-0.06,0.0023040197800000004,2.5452126523565767e-05,0.002237115,0.002330419,0.011046835072101215,0.0473088924,0.00024307673709806163,0.04696454,0.04781055,0.005138077109007176,0.010387087699999999,0.0002277636265746795,0.009952339,0.01075099,0.021927573265098355,-1.2000000298995062e-10,-2.0000000498325105e-09,0.03840032966666668,0.7884815399999999,0.17311812833333332,0.7500812103333333,0.13471779866666667,0.6153634116666666
